,Unnamed: 0,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction,cluster
63,63,NoInformation,0.0,0.0,2018-07-29 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
64,64,NoInformation,0.0,3.0,2018-07-29 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,9.0,0.0,0
65,65,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
66,66,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
67,67,NoInformation,0.0,0.0,2018-08-02 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
68,68,NoInformation,0.0,0.0,2018-08-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
69,69,UnspecNonMilArmed,1.0,0.0,2018-08-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
70,70,NoInformation,0.0,0.0,2018-08-11 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
71,71,NoInformation,0.0,0.0,2018-08-12 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
72,72,NoInformation,0.0,1.0,2018-08-14 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
73,73,NoInformation,0.0,0.0,2018-08-14 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
74,74,NoInformation,0.0,0.0,2018-08-26 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
75,75,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
76,76,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
77,77,NoInformation,0.0,0.0,2018-09-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
78,78,StateActor,0.0,1.0,2018-09-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
79,79,NoInformation,0.0,0.0,2018-09-06 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,2.0,0.0,0
80,80,NoInformation,1.0,0.0,2018-09-12 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
81,81,NoInformation,0.0,1.0,2018-09-15 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
82,82,NoInformation,0.0,0.0,2018-09-28 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
83,83,NoInformation,0.0,1.0,2018-10-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
84,84,NoInformation,0.0,0.0,2018-10-02 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
85,85,NoInformation,0.0,0.0,2018-10-07 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
86,86,NoInformation,0.0,0.0,2018-10-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
87,87,NoInformation,0.0,0.0,2018-10-20 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
88,88,NoInformation,0.0,0.0,2018-10-20 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
89,89,NoInformation,0.0,1.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
90,90,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
91,91,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
92,92,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
93,93,NoInformation,0.0,0.0,2018-11-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
94,94,NoInformation,0.0,0.0,2018-12-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
95,95,NoInformation,0.0,0.0,2018-12-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
96,96,NoInformation,0.0,0.0,2018-12-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
97,97,NoInformation,0.0,0.0,2018-12-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,1
98,98,NoInformation,0.0,0.0,2018-10-06 00:00:00,0.0,Burkina Faso,0.0,1.0,0.0,0.0,0.0,0.0,1
99,99,NonStateArmedGroups,0.0,0.0,2018-10-23 00:00:00,0.0,Burkina Faso,0.0,1.0,0.0,0.0,0.0,0.0,1
100,100,NonStateArmedGroups,0.0,0.0,2018-10-26 00:00:00,0.0,Burkina Faso,0.0,0.0,1.0,0.0,0.0,0.0,1
101,101,NonStateArmedGroups,0.0,0.0,2018-10-27 00:00:00,0.0,Burkina Faso,0.0,0.0,1.0,1.0,0.0,0.0,1
102,102,StateActor,0.0,0.0,2018-02-20 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,1.0,0.0,1
103,103,StateActor,0.0,0.0,2018-06-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,1.0,1
104,104,StateActor,0.0,1.0,2018-06-15 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
105,105,NoInformation,0.0,0.0,2018-07-23 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
106,106,NoInformation,1.0,0.0,2018-08-02 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
107,107,StateActor,0.0,1.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
108,108,StateActor,0.0,0.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,1.0,0.0,0.0,1.0,0.0,1
109,109,StateActor,1.0,0.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
110,110,NonStateArmedGroups,0.0,0.0,2018-08-11 00:00:00,0.0,Cameroon,0.0,0.0,0.0,1.0,0.0,0.0,1
111,111,NoInformation,0.0,0.0,2018-08-19 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
112,112,StateActor,1.0,0.0,2018-09-17 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
113,113,NonStateArmedGroups,0.0,0.0,2018-09-20 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
114,114,NoInformation,0.0,0.0,2018-11-16 00:00:00,0.0,Cameroon,0.0,0.0,0.0,1.0,0.0,0.0,1
115,115,StateActor,0.0,0.0,2018-11-01 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1
116,116,NonStateArmedGroups,0.0,0.0,2018-01-18 00:00:00,0.0,DRC,0.0,0.0,0.0,2.0,0.0,0.0,1
117,117,NonStateArmedGroups,1.0,0.0,2018-01-30 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
118,118,UnspecNonMilArmed,0.0,0.0,2018-02-04 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
119,119,NonStateArmedGroups,0.0,0.0,2018-02-05 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
120,120,UnspecNonMilArmed,0.0,0.0,2018-02-09 00:00:00,0.0,DRC,0.0,0.0,0.0,1.0,0.0,0.0,1
121,121,UnspecNonMilArmed,0.0,0.0,2018-02-26 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
