,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
64159,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Maruf Karez village,31.46794,65.599,Afghanistan,Asia,2020-08-20,2020-08-20,1,0,0,0,1,1,1,1
64163,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Badgeh village,34.5225,65.4796,Afghanistan,Asia,2020-08-20,2020-08-20,1,0,0,0,1,1,1,2
64164,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Hayratan-Mazari Sharif highway,36.951638,67.30703,Afghanistan,Asia,2020-08-20,2020-08-20,0,0,0,0,0,1,0,0
64168,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Paghman district,34.548073,68.936374,Afghanistan,Asia,2020-08-21,2020-08-21,3,0,0,0,3,3,3,3
64169,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Yakhdan village,36.961,66.81299,Afghanistan,Asia,2020-08-21,2020-08-21,10,0,0,0,10,10,10,0
64171,2020,State,Government of Afghanistan,Taleban,2,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020"";""Pajhwok News,2020-08-21,2 security personnel killed, 4 injured in Helmand blast""",NYTimes.com Feed;Pajhwok News,2020-08-06;2020-08-21,Greshk town,31.82004,64.570518,Afghanistan,Asia,2020-08-20,2020-08-21,2,0,0,0,2,2,2,1
64172,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Hirat town,34.349991,62.200001,Afghanistan,Asia,2020-08-21,2020-08-21,1,0,0,0,1,1,1,2
64173,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Seya Washan village,34.2261,62.2728,Afghanistan,Asia,2020-08-22,2020-08-22,1,0,0,0,1,1,1,2
64174,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Kunduz town,36.726131,68.865189,Afghanistan,Asia,2020-08-22,2020-08-22,2,0,0,0,2,2,2,0
64175,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Chimtal district,36.52289,66.597061,Afghanistan,Asia,2020-08-22,2020-08-22,5,0,0,0,5,5,5,0
64176,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Dar Khan village,37.019,70.7524,Afghanistan,Asia,2020-08-22,2020-08-22,3,0,0,0,3,3,3,0
64178,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Qudos Abad village,34.6643,61.1074,Afghanistan,Asia,2020-08-23,2020-08-23,4,0,0,0,4,4,4,2
64179,2020,State,Government of Afghanistan,Taleban,2,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020"";""Pajhwok News,2020-08-23,Policemen among 8 killed in Kandahar violence""",NYTimes.com Feed;Pajhwok News,2020-08-06;2020-08-23,Spin Boldak district,30.987916,66.169753,Afghanistan,Asia,2020-08-22,2020-08-23,2,6,0,0,8,12,6,1
64181,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Narkoh village,34.7122,65.438,Afghanistan,Asia,2020-08-23,2020-08-23,2,0,0,0,2,2,2,2
64187,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Kunduz province,36.75,68.75,Afghanistan,Asia,2020-08-23,2020-08-23,1,0,1,0,2,2,2,0
64188,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Shorab Yamadrasa village,36.544,69.0441,Afghanistan,Asia,2020-08-23,2020-08-23,0,0,1,0,1,1,1,0
64189,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Qurghan Tepa village,37.210674,68.919159,Afghanistan,Asia,2020-08-24,2020-08-24,2,0,4,0,6,6,6,0
64190,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Bilchiragh town,35.8377,65.2331,Afghanistan,Asia,2020-08-24,2020-08-24,1,0,0,0,1,1,1,2
