,id,latitude,longitude,count,Country
130,250894,36.112492,66.055374,1,Afghanistan
131,250895,32.62675,65.873313,12,Afghanistan
132,255136,34.718494,70.256599,4,Afghanistan
133,255375,34.2158,70.8323,1,Afghanistan
134,255371,34.151794,69.070099,4,Afghanistan
135,255155,33.305843,68.446963,6,Afghanistan
136,255374,32.085373,63.688011,2,Afghanistan
137,255135,33.0,65.0,6,Afghanistan
138,255140,34.750462,71.118319,3,Afghanistan
139,255137,34.33333,70.41667,2,Afghanistan
140,255376,32.62675,65.873313,4,Afghanistan
141,261429,32.6371,65.9044,3,Afghanistan
142,261646,33.33333,67.75,2,Afghanistan
143,261647,34.0,69.25,2,Afghanistan
144,261648,31.0,65.75,2,Afghanistan
145,261649,32.83333,66.0,2,Afghanistan
146,261650,34.25,68.0,2,Afghanistan
147,255379,33.305843,68.446963,12,Afghanistan
148,255133,34.825481,70.084213,9,Afghanistan
149,261369,33.472932,68.657758,12,Afghanistan
150,250893,32.489324,62.065236,1,Afghanistan
151,250894,36.112492,66.055374,1,Afghanistan
152,250895,32.62675,65.873313,12,Afghanistan
153,255136,34.718494,70.256599,4,Afghanistan
154,255375,34.2158,70.8323,1,Afghanistan
155,255371,34.151794,69.070099,4,Afghanistan
156,255155,33.305843,68.446963,6,Afghanistan
157,255374,32.085373,63.688011,2,Afghanistan
158,255135,33.0,65.0,6,Afghanistan
159,255140,34.750462,71.118319,3,Afghanistan
160,255137,34.33333,70.41667,2,Afghanistan
161,255376,32.62675,65.873313,4,Afghanistan
162,261429,32.6371,65.9044,3,Afghanistan
163,261646,33.33333,67.75,2,Afghanistan
164,261647,34.0,69.25,2,Afghanistan
165,261648,31.0,65.75,2,Afghanistan
166,261649,32.83333,66.0,2,Afghanistan
167,261650,34.25,68.0,2,Afghanistan
168,255379,33.305843,68.446963,12,Afghanistan
169,255133,34.825481,70.084213,9,Afghanistan
170,261369,33.472932,68.657758,12,Afghanistan
171,250893,32.489324,62.065236,1,Afghanistan
172,250894,36.112492,66.055374,1,Afghanistan
173,250895,32.62675,65.873313,12,Afghanistan
174,255136,34.718494,70.256599,4,Afghanistan
175,255375,34.2158,70.8323,1,Afghanistan
176,255371,34.151794,69.070099,4,Afghanistan
177,255155,33.305843,68.446963,6,Afghanistan
