,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
21241,2020,Non-State,IS,SDF,1,"""SOHR,2020-05-30,Deir ez-Zor | Gunmen target SDF members near military post, killing one and injuring another""",SOHR,2020-05-30,Al Hawayij town,35.04754,40.4897,Syria,Middle East,2020-05-30,2020-05-30,0,1,0,0,1,1,1,1
21242,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-05-31,Hostilities | Regime forces attempt to advance further in Jabal al-Zawiya, amid popular fear of resuming military operations in “de-escalation zone”""",SOHR,2020-05-31,Banin town,35.71232,36.64004,Syria,Middle East,2020-05-31,2020-05-31,2,2,0,0,4,4,4,3
21243,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-05-31,New assassination | Unidentified gunmen assassinate regime soldier of 4th Division in Daraa""",SOHR,2020-05-31,Daraa town,32.61889,36.10213,Syria,Middle East,2020-05-31,2020-05-31,1,0,0,0,1,1,1,2
21244,2020,State,Government of Iran,Government of Israel,2,"""SOHR,2020-05-31,Syrian desert | Five Iranian-backed militiamen killed and their vehicle destroyed in shelling on areas in al-Bukamal desert"";""SOHR,2020-05-31,How Do I Apply for a Paycheck Protection Program Loan? """,SOHR;SOHR,2020-05-31;2020-05-31,Albu Kamal town,34.45,40.918611,Syria,Middle East,2020-05-31,2020-05-31,5,0,0,0,5,5,0,1
28426,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2021-01-01,Old ordnance | Child dies of wounded sustained in earlier explosion in eastern Idlib""",SOHR,2021-01-01,Sarmin town,35.90403,36.72501,Syria,Middle East,2020-01-31,2020-01-31,0,0,0,0,0,1,0,3
28490,2020,Non-State,SNA,SDF,1,"""Airwars,2020-08-26,TS447""",Airwars,2020-08-26,Sheikh Hasan village,36.322442,39.063503,Syria,Middle East,2020-08-26,2020-08-26,0,0,0,0,0,1,0,0
28491,2020,Non-State,SNA,SDF,1,"""Airwars,2020-10-16,CS1949""",Airwars,2020-10-16,Field outside Ein Issa town,36.391336,38.875099,Syria,Middle East,2020-10-16,2020-10-16,0,0,1,0,1,1,1,0
28492,2020,Non-State,IS,SDF,1,"""Airwars,2020-10-16,CS1951""",Airwars,2020-10-16,As Suwar town/Sur town,35.50603,40.65671,Syria,Middle East,2020-10-16,2020-10-16,0,0,0,1,1,1,1,1
28494,2020,State,Government of Syria,Syrian insurgents,1,"""Airwars,2020-10-21,R4285""",Airwars,2020-10-21,Rami village,35.763369,36.558974,Syria,Middle East,2020-10-21,2020-10-21,0,0,0,0,0,1,0,3
28496,2020,Non-State,SNA,SDF,1,"""Airwars,2020-11-28,TS460""",Airwars,2020-11-28,Ein Issa town,36.385687,38.858694,Syria,Middle East,2020-11-28,2020-11-28,0,0,2,0,2,2,0,0
28497,2020,Non-State,SNA,SDF,1,"""Airwars,2020-12-17,TS461""",Airwars,2020-12-17,Jabhel village,36.408418,38.902309,Syria,Middle East,2020-12-17,2020-12-17,0,0,2,0,2,2,2,0
28498,2020,State,Government of Syria,IS,1,"""International Crisis Group,2020-11-30,Syria NOVEMBER 2020""",International Crisis Group,2020-11-30,Al Bab town,36.369722,37.514925,Syria,Middle East,2020-11-07,2020-11-07,3,0,0,0,3,3,3,3
28499,2020,Non-State,IS,HTS,2,"""International Crisis Group,2020-10-31,Syria OCTOBER 2020"";""Syria Live Map,2020-10-12,Idlib: Two members of the HTS were killed in an armed attack by unknown persons on one of its headquarters in the Jabal Al-Arbaeen area in the southern countryside""",International Crisis Group;Syria Live Map,2020-10-31;2020-10-12,Al Mastumah town,35.8755,36.62967,Syria,Middle East,2020-10-12,2020-10-12,0,2,0,0,2,2,2,3
28500,2020,Non-State,IS,HTS,1,"""International Crisis Group,2020-10-31,Syria OCTOBER 2020""",International Crisis Group,2020-10-31,Western Aleppo governorate,36.045003,37.021558,Syria,Middle East,2020-10-12,2020-10-12,13,0,0,0,13,13,0,3
28501,2020,State,Government of Syria,Syrian insurgents,2,"""SOHR,2020-02-15,After the factions withdrew, regime forces advance controlling 6 areas in rural Aleppo and more than 80 airstrikes target the “de-escalation” area"";""Human Rights Watch,2020-10-15,""Targeting Life in Idlib"" Syrian and Russian Strikes on Civilian Infrastructure""",SOHR;Human Rights Watch,2020-02-15;2020-10-15,Tall Alkarama/Tall Aqibrin,36.189567,36.772912,Syria,Middle East,2020-02-15,2020-02-15,0,0,1,0,1,1,1,3
28504,2020,State,Government of Syria,Syrian insurgents,1,"""United Nations Human Rights Council,2020-07-07,20th report of the Commission of Inquiry on the Syrian Arab Republic - A/HRC/44/61""",United Nations Human Rights Council,2020-07-07,Aleppo town,36.201241,37.161173,Syria,Middle East,2020-02-05,2020-02-05,0,0,5,0,5,5,5,3
28511,2020,Non-State,HTS,Tanzim Hurras ad-Din,3,"""SOHR,2020-06-24,Factional clashes | “Huras al-Din” attacks HTS security checkpoint in northern Jisr al-Shughour, as clashes spread in rural Idlib"";""SOHR,2020-06-25,After hours of tense calm | HTS attacks “Fathbatu” operations room in western Idlib with exchange of artillery shelling"";""SOHR,2020-06-23,Escalating violence | Fierce clashes erupt in Idlib, following the arrest of “Al-Talli” and “Al-Britani”""",SOHR;SOHR;SOHR,2020-06-24;2020-06-25;2020-06-23,Idlib town,35.93062,36.63393,Syria,Middle East,2020-06-23,2020-06-24,2,2,0,0,4,4,4,3
28520,2020,Non-State,SNA,SDF,1,"""SOHR,2020-02-04,“SDF” thwarts Turkish-backed factions attack in Manbij areas and a regime forces member killed in the clashes""",SOHR,2020-02-04,Ein Issa town,36.385687,38.858694,Syria,Middle East,2020-02-02,2020-02-04,11,0,0,0,11,10,0,0
