,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
25297,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-28,Weekend Bloodshed Continues to Push Myanmar Death Toll Higher""",The Irrawaddy,2021-03-28,Bago region,18.25,96.25,Myanmar (Burma),Asia,2021-03-27,2021-03-28,0,0,1,0,1,1,1,0
25298,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""Radio Free Asia,2021-03-29,Rising Child Death Toll Brings Sharp Criticism Upon Myanmar Military"";""Myanmar Now,2021-03-29,Regime troops kill eight people in surprise attacks on rallies and neighbourhoods""",Radio Free Asia;Myanmar Now,2021-03-29;2021-03-29,Tharketa township,16.794716,96.20821,Myanmar (Burma),Asia,2021-03-29,2021-03-29,0,0,1,0,1,1,1,3
25299,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Myanmar Now,2021-03-29,Regime troops kill eight people in surprise attacks on rallies and neighbourhoods""",Myanmar Now,2021-03-29,Taunggyi town,20.782664,97.034064,Myanmar (Burma),Asia,2021-03-29,2021-03-29,0,0,1,0,1,1,1,0
25300,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Kachin News,2021-03-28,Five Demonstrators Killed in Kachin State""",Kachin News,2021-03-28,Hpakant town,25.616667,96.316667,Myanmar (Burma),Asia,2021-03-27,2021-03-27,0,0,1,0,1,1,1,2
25301,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-29,Pace of Bloodshed Slows Monday After Myanmar Junta’s Weekend Massacre""",The Irrawaddy,2021-03-29,Bago town,17.333217,96.483395,Myanmar (Burma),Asia,2021-03-29,2021-03-29,0,0,1,0,1,1,1,3
25311,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""Myanmar Now,2021-03-30,Armed forces kill four more people in Myingan, bringing town’s total deaths to 19"";""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath""",Myanmar Now;The Irrawaddy,2021-03-30;2021-03-30,Myingyan town,21.459974,95.382313,Myanmar (Burma),Asia,2021-03-29,2021-03-29,0,0,3,0,3,3,3,1
25312,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath"";""Myanmar Now,2021-03-30,Armed forces kill four more people in Myingan, bringing town’s total deaths to 19""",The Irrawaddy;Myanmar Now,2021-03-30;2021-03-30,Myingyan town,21.459974,95.382313,Myanmar (Burma),Asia,2021-03-29,2021-03-30,0,0,1,0,1,1,1,1
25313,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath""",The Irrawaddy,2021-03-30,Yangon town,16.79845,96.150408,Myanmar (Burma),Asia,2021-03-30,2021-03-30,0,0,4,0,4,4,4,3
25314,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""Kachin News,2021-03-31,Security Forces Kill Protester in Kachin State Capital"";""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath""",Kachin News;The Irrawaddy,2021-03-31;2021-03-30,Myitkyina city,25.386411,97.394394,Myanmar (Burma),Asia,2021-03-30,2021-03-30,0,0,2,0,2,2,2,2
25315,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath""",The Irrawaddy,2021-03-30,Dawei town,14.09108,98.196143,Myanmar (Burma),Asia,2021-03-27,2021-03-30,0,0,1,0,1,1,1,3
25316,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-30,Fifteen More Killed as Myanmar Regime Continues Bloodbath"";""The Irrawaddy,2021-04-01,Pathein Teenager Shot Dead by Myanmar Military Regime""",The Irrawaddy;The Irrawaddy,2021-03-30;2021-04-01,Pathein town,16.773994,94.731424,Myanmar (Burma),Asia,2021-03-29,2021-03-29,0,0,2,0,2,2,2,3
25345,2021,State,Government of Myanmar (Burma),KNU,1,"""Free Burma Rangers,2021-03-30,Children Killed and Wounded by Daily Airstrikes from Burma Military, 12,000 People now Displaced in Karen State""",Free Burma Rangers,2021-03-30,Hpapun district,18.064,97.445,Myanmar (Burma),Asia,2021-03-28,2021-03-28,0,0,1,0,1,1,1,0
25347,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-03-15,Myanmar’s Sunday Protest Fatalities Break Record, Total Death Toll Exceeds 130"";""Human Rights Watch,2021-12-02,Myanmar: Protesters Targeted in March Massacre""",The Irrawaddy;Human Rights Watch,2021-03-15;2021-12-02,Hlaingthaya township,16.883845,96.056418,Myanmar (Burma),Asia,2021-03-14,2021-03-14,0,0,18,0,18,18,18,3
25348,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-15,Myanmar’s Sunday Protest Fatalities Break Record, Total Death Toll Exceeds 130""",The Irrawaddy,2021-03-15,Yangon town,16.79845,96.150408,Myanmar (Burma),Asia,2021-03-14,2021-03-14,0,0,3,0,3,3,3,3
25351,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-03-13,With More Deadly Crackdowns, Myanmar Protest Death Toll Exceeds 90""",The Irrawaddy,2021-03-13,Twantay township,16.707314,95.93547,Myanmar (Burma),Asia,2021-03-13,2021-03-13,0,0,2,0,2,2,2,3
25353,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Myanmar Now,2021-03-12,Volunteer night guard shot dead by military""",Myanmar Now,2021-03-12,Mingaladon township,16.997601,96.133688,Myanmar (Burma),Asia,2021-03-12,2021-03-12,0,0,1,0,1,1,1,3
25484,2021,State,Government of Myanmar (Burma),KIO,2,"""Radio Fiji,2021-04-01,Burmese military junta declares ceasefire with ethnic guerrillas"";""Myanmar Now,2021-04-01,KIA says more clashes likely despite junta’s ceasefire announcement """,Radio Fiji;Myanmar Now,2021-04-01;2021-04-01,Mohnyin town,24.774342,96.363573,Myanmar (Burma),Asia,2021-03-31,2021-03-31,20,0,0,0,20,20,20,2
25485,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Myanmar Now,2021-04-02,Bank staffer dies two days after being shot by junta’s troops on her way home from work""",Myanmar Now,2021-04-02,Tamwe township,16.812627,96.17886,Myanmar (Burma),Asia,2021-03-31,2021-04-02,0,0,1,0,1,1,1,3
25486,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-04-03,Myanmar Security Forces Kill Another Six on Saturday, Sending Death Toll to 556"";""Reuters News,2021-04-03,WRAPUP 5-Myanmar protesters defy crackdown, five killed; junta hunts critics""",The Irrawaddy;Reuters News,2021-04-03;2021-04-03,Thaton township,16.956195,97.31287,Myanmar (Burma),Asia,2021-04-03,2021-04-03,0,0,2,0,2,2,2,3
25487,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-04-03,Myanmar Security Forces Kill Another Six on Saturday, Sending Death Toll to 556""",The Irrawaddy,2021-04-03,Natchaung village,22.99814,94.032111,Myanmar (Burma),Asia,2021-03-01,2021-04-03,0,0,1,0,1,1,1,1
25488,2021,One-Sided,Government of Myanmar (Burma),Civilians,3,"""Myanmar Now,2021-04-04,Soldiers murder at least two as anti-coup movement stages ‘Easter Egg Strike’"";""The Irrawaddy,2021-04-05,Easter Sunday Sees Myanmar Death Toll at Hands of Military Regime Topping 560"";""Reuters News,2021-04-04,Myanmar protesters make Easter eggs a symbol of defiance""",Myanmar Now;The Irrawaddy;Reuters News,2021-04-04;2021-04-05;2021-04-04,Bhamo town,24.265796,97.234668,Myanmar (Burma),Asia,2021-04-04,2021-04-04,0,0,1,0,1,1,1,2
