,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
62,UnspecNonMilArmed,1.0,0.0,2018-07-28 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
63,NoInformation,0.0,0.0,2018-07-29 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
64,NoInformation,0.0,3.0,2018-07-29 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,9.0,0.0
65,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
66,NoInformation,0.0,0.0,2018-07-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
67,NoInformation,0.0,0.0,2018-08-02 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
68,NoInformation,0.0,0.0,2018-08-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
69,UnspecNonMilArmed,1.0,0.0,2018-08-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
70,NoInformation,0.0,0.0,2018-08-11 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
71,NoInformation,0.0,0.0,2018-08-12 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
72,NoInformation,0.0,1.0,2018-08-14 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
73,NoInformation,0.0,0.0,2018-08-14 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
74,NoInformation,0.0,0.0,2018-08-26 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
75,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
76,NoInformation,0.0,0.0,2018-09-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
77,NoInformation,0.0,0.0,2018-09-03 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
78,StateActor,0.0,1.0,2018-09-05 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
79,NoInformation,0.0,0.0,2018-09-06 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,2.0,0.0
80,NoInformation,1.0,0.0,2018-09-12 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
81,NoInformation,0.0,1.0,2018-09-15 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
82,NoInformation,0.0,0.0,2018-09-28 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
83,NoInformation,0.0,1.0,2018-10-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
84,NoInformation,0.0,0.0,2018-10-02 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
85,NoInformation,0.0,0.0,2018-10-07 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
86,NoInformation,0.0,0.0,2018-10-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
87,NoInformation,0.0,0.0,2018-10-20 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
88,NoInformation,0.0,0.0,2018-10-20 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
89,NoInformation,0.0,1.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
90,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
91,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
92,NoInformation,0.0,0.0,2018-11-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
93,NoInformation,0.0,0.0,2018-11-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
94,NoInformation,0.0,0.0,2018-12-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
95,NoInformation,0.0,0.0,2018-12-01 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
96,NoInformation,0.0,0.0,2018-12-10 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
97,NoInformation,0.0,0.0,2018-12-31 00:00:00,0.0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
